QP=42 | PSNR=36.17 | SSIM=0.9751 | size=84 B | ratio=0.0174 | reduction=98.26% | time=1.2821s
QP=48 | PSNR=33.27 | SSIM=0.9591 | size=47 B | ratio=0.0097 | reduction=99.03% | time=4.5368s
QP= 6 | PSNR=56.49 | SSIM=0.9998 | size=25.01 KB | ratio=1.1858 | reduction=-18.58% | time=16.4342s
QP=12 | PSNR=51.62 | SSIM=0.9995 | size=15.12 KB | ratio=0.7167 | reduction=28.33% | time=6.0444s
QP=18 | PSNR=46.87 | SSIM=0.9983 | size=8.67 KB | ratio=0.4108 | reduction=58.92% | time=7.1283s
QP=24 | PSNR=42.83 | SSIM=0.9952 | size=4.70 KB | ratio=0.2229 | reduction=77.71% | time=10.9931s
QP=30 | PSNR=38.46 | SSIM=0.9851 | size=2.28 KB | ratio=0.1079 | reduction=89.21% | time=8.0685s
QP=36 | PSNR=34.77 | SSIM=0.9620 | size=1.04 KB | ratio=0.0494 | reduction=95.06% | time=7.0004s
QP=42 | PSNR=31.25 | SSIM=0.9102 | size=440 B | ratio=0.0204 | reduction=97.96% | time=7.3599s
QP=48 | PSNR=28.88 | SSIM=0.8446 | size=157 B | ratio=0.0073 | reduction=99.27% | time=8.4285s
QP= 6 | PSNR=56.21 | SSIM=0.9998 | size=22.30 KB | ratio=1.0728 | reduction=-7.28% | time=11.8445s
QP=12 | PSNR=51.22 | SSIM=0.9994 | size=14.30 KB | ratio=0.6879 | reduction=31.21% | time=9.0753s
QP=18 | PSNR=46.06 | SSIM=0.9980 | size=8.61 KB | ratio=0.4143 | reduction=58.57% | time=8.8038s
QP=24 | PSNR=41.36 | SSIM=0.9934 | size=4.61 KB | ratio=0.2218 | reduction=77.82% | time=5.8622s
QP=30 | PSNR=37.18 | SSIM=0.9807 | size=2.12 KB | ratio=0.1019 | reduction=89.81% | time=6.0179s
QP=36 | PSNR=33.58 | SSIM=0.9496 | size=809 B | ratio=0.0380 | reduction=96.20% | time=7.1969s
QP=42 | PSNR=30.80 | SSIM=0.8965 | size=213 B | ratio=0.0100 | reduction=99.00% | time=0.8094s
QP=48 | PSNR=29.23 | SSIM=0.8453 | size=82 B | ratio=0.0039 | reduction=99.61% | time=7.1325s
QP= 6 | PSNR=56.53 | SSIM=0.9998 | size=16.75 KB | ratio=0.9992 | reduction=0.08% | time=6.9485s
QP=12 | PSNR=51.45 | SSIM=0.9992 | size=9.74 KB | ratio=0.5812 | reduction=41.88% | time=5.1988s
QP=18 | PSNR=46.66 | SSIM=0.9974 | size=5.32 KB | ratio=0.3171 | reduction=68.29% | time=10.2644s
QP=24 | PSNR=42.49 | SSIM=0.9927 | size=2.69 KB | ratio=0.1605 | reduction=83.95% | time=2.1342s
QP=30 | PSNR=38.46 | SSIM=0.9804 | size=1.21 KB | ratio=0.0721 | reduction=92.79% | time=8.9585s
QP=36 | PSNR=35.19 | SSIM=0.9583 | size=480 B | ratio=0.0280 | reduction=97.20% | time=2.1844s
QP=42 | PSNR=32.22 | SSIM=0.9195 | size=175 B | ratio=0.0102 | reduction=98.98% | time=4.2595s
QP=48 | PSNR=29.78 | SSIM=0.8665 | size=60 B | ratio=0.0035 | reduction=99.65% | time=3.7981s
QP= 6 | PSNR=56.33 | SSIM=0.9998 | size=12.11 KB | ratio=1.4571 | reduction=-45.71% | time=5.3433s
QP=12 | PSNR=50.94 | SSIM=0.9992 | size=7.99 KB | ratio=0.9615 | reduction=3.85% | time=2.2175s
QP=18 | PSNR=45.23 | SSIM=0.9970 | size=4.25 KB | ratio=0.5118 | reduction=48.82% | time=1.3523s
QP=24 | PSNR=41.43 | SSIM=0.9915 | size=2.02 KB | ratio=0.2427 | reduction=75.73% | time=4.1947s
QP=30 | PSNR=37.46 | SSIM=0.9759 | size=895 B | ratio=0.1052 | reduction=89.48% | time=4.1258s
QP=36 | PSNR=34.13 | SSIM=0.9490 | size=334 B | ratio=0.0392 | reduction=96.08% | time=3.0622s
QP=42 | PSNR=31.94 | SSIM=0.9162 | size=133 B | ratio=0.0156 | reduction=98.44% | time=3.2318s
QP=48 | PSNR=29.44 | SSIM=0.8810 | size=63 B | ratio=0.0074 | reduction=99.26% | time=5.0393s
QP= 6 | PSNR=70.42 | SSIM=1.0000 | size=1.42 KB | ratio=0.8951 | reduction=10.49% | time=2.9600s
QP=12 | PSNR=64.14 | SSIM=1.0000 | size=1.14 KB | ratio=0.7212 | reduction=27.88% | time=1.7067s
QP=18 | PSNR=56.68 | SSIM=0.9997 | size=817 B | ratio=0.5040 | reduction=49.60% | time=2.7364s
QP=24 | PSNR=50.84 | SSIM=0.9989 | size=412 B | ratio=0.2542 | reduction=74.58% | time=1.7452s
QP=30 | PSNR=46.85 | SSIM=0.9962 | size=163 B | ratio=0.1006 | reduction=89.94% | time=2.8859s
QP=36 | PSNR=44.48 | SSIM=0.9929 | size=98 B | ratio=0.0605 | reduction=93.95% | time=1.6140s
QP=42 | PSNR=41.19 | SSIM=0.9908 | size=66 B | ratio=0.0407 | reduction=95.93% | time=1.4260s
QP=48 | PSNR=38.45 | SSIM=0.9851 | size=48 B | ratio=0.0296 | reduction=97.04% | time=3.9729s
QP= 6 | PSNR=58.99 | SSIM=0.9998 | size=7.77 KB | ratio=1.5683 | reduction=-56.83% | time=3.7098s
QP=12 | PSNR=54.42 | SSIM=0.9996 | size=5.49 KB | ratio=1.1092 | reduction=-10.92% | time=2.8708s
QP=18 | PSNR=48.27 | SSIM=0.9986 | size=3.60 KB | ratio=0.7263 | reduction=27.37% | time=5.8517s
QP=24 | PSNR=43.39 | SSIM=0.9955 | size=1.94 KB | ratio=0.3910 | reduction=60.90% | time=5.4095s
QP=30 | PSNR=38.30 | SSIM=0.9836 | size=799 B | ratio=0.1576 | reduction=84.24% | time=1.2976s
QP=36 | PSNR=34.81 | SSIM=0.9576 | size=270 B | ratio=0.0532 | reduction=94.68% | time=3.1069s
QP=42 | PSNR=32.52 | SSIM=0.9305 | size=93 B | ratio=0.0183 | reduction=98.17% | time=4.2475s
QP=48 | PSNR=31.55 | SSIM=0.9111 | size=54 B | ratio=0.0106 | reduction=98.94% | time=2.5710s
QP= 6 | PSNR=56.94 | SSIM=0.9996 | size=9.67 KB | ratio=0.7611 | reduction=23.89% | time=2.9760s
QP=12 | PSNR=52.95 | SSIM=0.9991 | size=5.26 KB | ratio=0.4137 | reduction=58.63% | time=5.2829s
QP=18 | PSNR=48.60 | SSIM=0.9974 | size=2.57 KB | ratio=0.2025 | reduction=79.75% | time=6.5220s
QP=24 | PSNR=44.83 | SSIM=0.9933 | size=1.15 KB | ratio=0.0906 | reduction=90.94% | time=4.0370s
QP=30 | PSNR=41.46 | SSIM=0.9826 | size=407 B | ratio=0.0313 | reduction=96.87% | time=4.5900s
QP=36 | PSNR=39.02 | SSIM=0.9688 | size=128 B | ratio=0.0098 | reduction=99.02% | time=4.8810s
QP=42 | PSNR=37.62 | SSIM=0.9609 | size=62 B | ratio=0.0048 | reduction=99.52% | time=1.7700s
QP=48 | PSNR=36.22 | SSIM=0.9575 | size=47 B | ratio=0.0036 | reduction=99.64% | time=0.8946s
QP= 6 | PSNR=66.38 | SSIM=1.0000 | size=3.47 KB | ratio=0.7250 | reduction=27.50% | time=8.3540s
QP=12 | PSNR=61.19 | SSIM=0.9999 | size=2.33 KB | ratio=0.4873 | reduction=51.27% | time=8.3408s
QP=18 | PSNR=55.87 | SSIM=0.9997 | size=1.43 KB | ratio=0.2981 | reduction=70.19% | time=3.9689s
QP=24 | PSNR=51.68 | SSIM=0.9992 | size=780 B | ratio=0.1590 | reduction=84.10% | time=6.6220s
QP=30 | PSNR=47.76 | SSIM=0.9982 | size=400 B | ratio=0.0815 | reduction=91.85% | time=3.7254s
