QP=30 | PSNR=40.17 | SSIM=0.9846 | size=7.26 KB | ratio=0.0228 | reduction=97.72% | time=2.6203s
QP=36 | PSNR=36.93 | SSIM=0.9697 | size=3.66 KB | ratio=0.0115 | reduction=98.85% | time=2.9560s
QP=42 | PSNR=33.68 | SSIM=0.9531 | size=1.96 KB | ratio=0.0062 | reduction=99.38% | time=2.6533s
QP=48 | PSNR=30.09 | SSIM=0.9203 | size=1.10 KB | ratio=0.0034 | reduction=99.66% | time=2.1748s
QP= 6 | PSNR=52.26 | SSIM=0.9989 | size=64.47 KB | ratio=0.2689 | reduction=73.11% | time=4.0660s
QP=12 | PSNR=50.16 | SSIM=0.9984 | size=35.39 KB | ratio=0.1476 | reduction=85.24% | time=3.9239s
QP=18 | PSNR=47.47 | SSIM=0.9971 | size=20.81 KB | ratio=0.0868 | reduction=91.32% | time=3.6006s
QP=24 | PSNR=44.83 | SSIM=0.9949 | size=12.48 KB | ratio=0.0521 | reduction=94.79% | time=3.5032s
QP=30 | PSNR=40.96 | SSIM=0.9894 | size=6.48 KB | ratio=0.0270 | reduction=97.30% | time=2.8455s
QP=36 | PSNR=37.37 | SSIM=0.9814 | size=3.50 KB | ratio=0.0146 | reduction=98.54% | time=2.5794s
QP=42 | PSNR=33.76 | SSIM=0.9688 | size=1.95 KB | ratio=0.0082 | reduction=99.18% | time=2.3739s
QP=48 | PSNR=30.17 | SSIM=0.9490 | size=1.10 KB | ratio=0.0046 | reduction=99.54% | time=2.5708s
QP= 6 | PSNR=52.28 | SSIM=0.9989 | size=72.12 KB | ratio=0.2781 | reduction=72.19% | time=4.5847s
QP=12 | PSNR=49.91 | SSIM=0.9983 | size=39.40 KB | ratio=0.1519 | reduction=84.81% | time=4.1722s
QP=18 | PSNR=47.09 | SSIM=0.9968 | size=22.38 KB | ratio=0.0863 | reduction=91.37% | time=3.1563s
QP=24 | PSNR=44.47 | SSIM=0.9943 | size=13.21 KB | ratio=0.0509 | reduction=94.91% | time=2.8171s
QP=30 | PSNR=40.63 | SSIM=0.9884 | size=6.81 KB | ratio=0.0263 | reduction=97.37% | time=2.8885s
QP=36 | PSNR=37.11 | SSIM=0.9790 | size=3.67 KB | ratio=0.0141 | reduction=98.59% | time=2.9148s
QP=42 | PSNR=33.68 | SSIM=0.9653 | size=2.02 KB | ratio=0.0078 | reduction=99.22% | time=2.7520s
QP=48 | PSNR=30.15 | SSIM=0.9420 | size=1.11 KB | ratio=0.0043 | reduction=99.57% | time=2.5685s
QP= 6 | PSNR=51.43 | SSIM=0.9986 | size=109.92 KB | ratio=0.3514 | reduction=64.86% | time=5.6693s
QP=12 | PSNR=48.53 | SSIM=0.9976 | size=54.86 KB | ratio=0.1754 | reduction=82.46% | time=3.8089s
QP=18 | PSNR=45.61 | SSIM=0.9953 | size=25.79 KB | ratio=0.0825 | reduction=91.75% | time=3.4980s
QP=24 | PSNR=43.08 | SSIM=0.9914 | size=13.44 KB | ratio=0.0430 | reduction=95.70% | time=3.5709s
QP=30 | PSNR=40.14 | SSIM=0.9841 | size=6.98 KB | ratio=0.0223 | reduction=97.77% | time=2.5750s
QP=36 | PSNR=36.88 | SSIM=0.9725 | size=3.68 KB | ratio=0.0118 | reduction=98.82% | time=2.6785s
QP=42 | PSNR=33.39 | SSIM=0.9550 | size=2.01 KB | ratio=0.0064 | reduction=99.36% | time=2.2677s
QP=48 | PSNR=29.91 | SSIM=0.9243 | size=1.13 KB | ratio=0.0036 | reduction=99.64% | time=2.3066s
QP= 6 | PSNR=51.64 | SSIM=0.9986 | size=98.69 KB | ratio=0.3190 | reduction=68.10% | time=4.8904s
QP=12 | PSNR=48.94 | SSIM=0.9979 | size=51.72 KB | ratio=0.1672 | reduction=83.28% | time=4.3860s
QP=18 | PSNR=45.59 | SSIM=0.9956 | size=25.65 KB | ratio=0.0829 | reduction=91.71% | time=3.7409s
QP=24 | PSNR=43.28 | SSIM=0.9923 | size=13.85 KB | ratio=0.0448 | reduction=95.52% | time=3.3284s
QP=30 | PSNR=40.25 | SSIM=0.9853 | size=7.35 KB | ratio=0.0237 | reduction=97.63% | time=2.6467s
QP=36 | PSNR=36.85 | SSIM=0.9707 | size=3.71 KB | ratio=0.0120 | reduction=98.80% | time=2.3380s
QP=42 | PSNR=33.57 | SSIM=0.9506 | size=2.01 KB | ratio=0.0065 | reduction=99.35% | time=2.8092s
QP=48 | PSNR=30.05 | SSIM=0.9178 | size=1.08 KB | ratio=0.0035 | reduction=99.65% | time=2.8113s
QP= 6 | PSNR=51.76 | SSIM=0.9987 | size=74.79 KB | ratio=0.3136 | reduction=68.64% | time=5.0901s
QP=12 | PSNR=49.50 | SSIM=0.9981 | size=40.17 KB | ratio=0.1685 | reduction=83.15% | time=3.9537s
QP=18 | PSNR=46.74 | SSIM=0.9965 | size=20.48 KB | ratio=0.0859 | reduction=91.41% | time=3.5227s
QP=24 | PSNR=44.21 | SSIM=0.9939 | size=11.05 KB | ratio=0.0463 | reduction=95.37% | time=3.0301s
QP=30 | PSNR=41.07 | SSIM=0.9893 | size=6.00 KB | ratio=0.0252 | reduction=97.48% | time=2.6992s
QP=36 | PSNR=37.58 | SSIM=0.9811 | size=3.39 KB | ratio=0.0142 | reduction=98.58% | time=2.3871s
QP=42 | PSNR=33.96 | SSIM=0.9674 | size=1.96 KB | ratio=0.0082 | reduction=99.18% | time=2.5611s
QP=48 | PSNR=30.03 | SSIM=0.9390 | size=1.10 KB | ratio=0.0046 | reduction=99.54% | time=2.1730s
QP= 6 | PSNR=52.04 | SSIM=0.9989 | size=68.47 KB | ratio=0.2760 | reduction=72.40% | time=4.5239s
QP=12 | PSNR=49.88 | SSIM=0.9984 | size=36.98 KB | ratio=0.1491 | reduction=85.09% | time=3.6647s
QP=18 | PSNR=47.17 | SSIM=0.9969 | size=21.21 KB | ratio=0.0855 | reduction=91.45% | time=3.1748s
QP=24 | PSNR=44.55 | SSIM=0.9946 | size=12.61 KB | ratio=0.0508 | reduction=94.92% | time=3.3413s
QP=30 | PSNR=40.79 | SSIM=0.9892 | size=6.61 KB | ratio=0.0266 | reduction=97.34% | time=2.8954s
QP=36 | PSNR=37.20 | SSIM=0.9804 | size=3.54 KB | ratio=0.0143 | reduction=98.57% | time=2.6647s
QP=42 | PSNR=33.59 | SSIM=0.9679 | size=2.00 KB | ratio=0.0080 | reduction=99.20% | time=2.3463s
QP=48 | PSNR=29.92 | SSIM=0.9428 | size=1.14 KB | ratio=0.0046 | reduction=99.54% | time=2.7916s
QP= 6 | PSNR=51.09 | SSIM=0.9988 | size=152.70 KB | ratio=0.3506 | reduction=64.94% | time=5.4510s
QP=12 | PSNR=47.57 | SSIM=0.9978 | size=81.95 KB | ratio=0.1881 | reduction=81.19% | time=4.4315s
QP=18 | PSNR=44.12 | SSIM=0.9950 | size=41.26 KB | ratio=0.0947 | reduction=90.53% | time=4.3244s
QP=24 | PSNR=41.39 | SSIM=0.9898 | size=22.10 KB | ratio=0.0507 | reduction=94.93% | time=3.4563s
QP=30 | PSNR=38.05 | SSIM=0.9767 | size=11.34 KB | ratio=0.0260 | reduction=97.40% | time=3.2920s
QP=36 | PSNR=34.63 | SSIM=0.9465 | size=5.12 KB | ratio=0.0118 | reduction=98.82% | time=2.7417s
QP=42 | PSNR=31.61 | SSIM=0.9002 | size=2.29 KB | ratio=0.0053 | reduction=99.47% | time=2.4365s
QP=48 | PSNR=28.99 | SSIM=0.8578 | size=1.07 KB | ratio=0.0025 | reduction=99.75% | time=2.7543s
QP= 6 | PSNR=52.14 | SSIM=0.9988 | size=69.94 KB | ratio=0.2686 | reduction=73.14% | time=5.0838s
QP=12 | PSNR=49.97 | SSIM=0.9983 | size=36.70 KB | ratio=0.1410 | reduction=85.90% | time=3.8564s
QP=18 | PSNR=47.14 | SSIM=0.9968 | size=21.16 KB | ratio=0.0813 | reduction=91.87% | time=3.0187s
QP=24 | PSNR=44.71 | SSIM=0.9945 | size=12.67 KB | ratio=0.0486 | reduction=95.14% | time=2.9240s
QP=30 | PSNR=41.11 | SSIM=0.9889 | size=6.76 KB | ratio=0.0260 | reduction=97.40% | time=2.9919s
QP=36 | PSNR=37.35 | SSIM=0.9772 | size=3.45 KB | ratio=0.0133 | reduction=98.67% | time=2.7382s
QP=42 | PSNR=33.90 | SSIM=0.9607 | size=1.93 KB | ratio=0.0074 | reduction=99.26% | time=2.4941s
QP=48 | PSNR=30.37 | SSIM=0.9310 | size=1.06 KB | ratio=0.0041 | reduction=99.59% | time=2.5050s
QP= 6 | PSNR=51.76 | SSIM=0.9989 | size=77.14 KB | ratio=0.2587 | reduction=74.13% | time=4.3770s
QP=12 | PSNR=49.57 | SSIM=0.9984 | size=41.14 KB | ratio=0.1379 | reduction=86.21% | time=4.0263s
QP=18 | PSNR=46.78 | SSIM=0.9970 | size=24.61 KB | ratio=0.0825 | reduction=91.75% | time=3.6020s
QP=24 | PSNR=44.22 | SSIM=0.9948 | size=15.08 KB | ratio=0.0506 | reduction=94.94% | time=3.3593s
QP=30 | PSNR=40.27 | SSIM=0.9884 | size=7.90 KB | ratio=0.0265 | reduction=97.35% | time=3.4957s
QP=36 | PSNR=36.59 | SSIM=0.9777 | size=4.18 KB | ratio=0.0140 | reduction=98.60% | time=2.3916s
QP=42 | PSNR=33.08 | SSIM=0.9611 | size=2.22 KB | ratio=0.0075 | reduction=99.25% | time=2.7390s
QP=48 | PSNR=29.53 | SSIM=0.9327 | size=1.19 KB | ratio=0.0040 | reduction=99.60% | time=2.5406s
QP= 6 | PSNR=51.79 | SSIM=0.9989 | size=83.79 KB | ratio=0.2765 | reduction=72.35% | time=5.1376s
QP=12 | PSNR=49.33 | SSIM=0.9983 | size=44.14 KB | ratio=0.1457 | reduction=85.43% | time=4.0978s
QP=18 | PSNR=46.59 | SSIM=0.9969 | size=25.58 KB | ratio=0.0844 | reduction=91.56% | time=3.4488s
QP=24 | PSNR=43.93 | SSIM=0.9945 | size=15.09 KB | ratio=0.0498 | reduction=95.02% | time=3.2667s
QP=30 | PSNR=40.13 | SSIM=0.9881 | size=7.90 KB | ratio=0.0261 | reduction=97.39% | time=3.0787s
